temperature_one,temperature_two,vibration_x,vibration_y,vibration_z,magnetic_flux_x,magnetic_flux_y,magnetic_flux_z,health_status
38.8,31.6,1.37,1.23,1.11,1.59,1.14,1.49,healthy
35.8,35.3,1.54,1.02,1.68,1.55,1.92,1.8,healthy
32.8,38.0,1.65,1.72,1.95,1.22,1.88,1.62,healthy
23.43,23.43,-60.0,76.0,1011.0,10.0,0.0,47.0,unhealthy
32.1,35.1,1.58,1.78,1.82,1.21,1.07,1.41,healthy
23.53,23.53,-54.0,78.0,1022.0,10.0,0.0,47.0,unhealthy
30.3,32.7,1.33,1.19,1.73,1.24,1.49,1.41,healthy
23.56,23.56,-58.0,70.0,1013.0,10.0,0.0,47.0,unhealthy
37.8,37.7,1.97,1.48,1.41,1.1,1.17,1.74,healthy
23.36,23.36,-62.0,94.0,1024.0,10.0,0.0,47.0,unhealthy
30.4,34.5,1.27,1.01,1.89,1.98,1.68,1.06,healthy
18.13,18.13,17835600.0,101.0,950.195,2.0,0.0,8.0,unhealthy
32.8,39.2,1.21,1.14,1.62,1.44,1.11,1.6,healthy
35.2,36.2,1.3,1.87,1.81,1.22,1.49,1.34,healthy
32.3,34.8,1.95,1.01,1.36,1.1,1.96,1.15,healthy
30.8,36.6,1.75,1.4,1.01,1.01,1.82,1.07,healthy
17.96,17.96,17835600.0,89.0,979.98,2.0,0.0,8.0,unhealthy
17.9,17.9,17835600.0,85.0,973.145,2.0,0.0,8.0,unhealthy
35.8,32.7,1.21,1.83,1.55,1.65,1.39,1.8,healthy
23.53,23.53,-43.0,92.0,1025.0,10.0,0.0,47.0,unhealthy
31.8,30.9,1.12,1.7,1.21,1.43,1.39,1.32,healthy
35.6,38.4,1.73,1.85,1.74,1.22,1.06,1.7,healthy
23.33,23.33,-61.0,81.0,1025.0,10.0,0.0,47.0,unhealthy
38.2,39.1,1.61,1.14,1.37,1.39,1.17,1.5,healthy
32.8,37.5,1.59,1.01,1.43,1.92,1.08,1.01,healthy
23.53,23.53,-58.0,70.0,1013.0,10.0,0.0,47.0,unhealthy
31.0,37.1,1.21,1.94,1.99,1.95,1.18,1.45,healthy
18.09,18.09,17835600.0,97.0,961.914,2.0,0.0,8.0,unhealthy
23.49,23.49,-50.0,93.0,1024.0,10.0,0.0,47.0,unhealthy
32.2,30.7,1.24,1.47,1.75,1.53,1.86,1.58,healthy
23.56,23.56,-50.0,76.0,1020.0,10.0,0.0,47.0,unhealthy
18.16,18.16,17835600.0,94.0,973.633,2.0,0.0,8.0,unhealthy
32.9,35.6,1.39,1.27,1.8,1.8,1.99,1.47,healthy
17.76,17.76,17835600.0,103.0,946.777,2.0,0.0,8.0,unhealthy
38.4,31.9,1.77,1.36,1.29,1.69,1.93,1.07,healthy
22.87,22.01,-34.0,89.0,1016.0,10.0,0.0,47.0,unhealthy
31.1,34.1,1.27,1.19,1.86,1.32,1.08,1.97,healthy
22.83,22.01,-52.0,89.0,1010.0,10.0,0.0,47.0,unhealthy
22.83,22.01,-53.0,84.0,1022.0,10.0,0.0,47.0,unhealthy
18.16,18.16,17835600.0,89.0,958.496,2.0,0.0,8.0,unhealthy
18.22,18.22,17835600.0,92.0,913.086,2.0,0.0,8.0,unhealthy
30.1,32.2,1.5,1.83,1.02,1.99,1.32,1.31,healthy
18.13,18.13,17835600.0,98.0,943.848,2.0,0.0,8.0,unhealthy
37.1,30.9,1.95,1.83,1.1,1.01,1.78,1.33,healthy
34.4,36.2,1.24,1.62,1.64,1.06,1.1,1.82,healthy
38.7,39.4,1.21,1.17,1.66,1.14,1.44,1.37,healthy
30.8,36.5,1.79,1.6,1.35,1.79,1.92,1.18,healthy
30.4,34.4,1.19,1.69,1.36,1.76,1.52,1.37,healthy
23.56,23.56,-46.0,77.0,1024.0,10.0,0.0,47.0,unhealthy
39.4,33.3,1.37,1.59,1.82,1.73,1.52,1.48,healthy
38.8,32.0,1.63,1.95,1.94,1.08,1.65,1.35,healthy
38.2,38.8,1.78,1.59,1.52,1.57,1.31,1.7,healthy
23.49,23.49,-62.0,90.0,1019.0,10.0,0.0,47.0,unhealthy
22.93,22.01,-50.0,82.0,1013.0,10.0,0.0,47.0,unhealthy
30.1,37.4,1.06,1.45,1.69,1.69,1.02,1.12,healthy
31.2,39.9,1.41,1.06,1.96,1.05,1.92,1.54,healthy
23.49,23.49,-49.0,79.0,1021.0,10.0,0.0,47.0,unhealthy
36.5,34.4,1.1,1.19,1.4,1.29,1.36,1.29,healthy
37.9,34.7,1.67,1.24,1.24,1.3,1.38,1.76,healthy
23.13,23.13,-47.0,85.0,1023.0,10.0,0.0,47.0,unhealthy
35.7,31.9,1.98,1.24,1.39,1.25,1.14,1.49,healthy
23.56,23.56,-57.0,76.0,1024.0,10.0,0.0,47.0,unhealthy
23.62,23.62,-54.0,80.0,1022.0,10.0,0.0,47.0,unhealthy
23.46,23.46,-53.0,78.0,1016.0,10.0,0.0,47.0,unhealthy
33.1,35.2,1.57,1.31,1.74,1.93,1.01,1.26,healthy
23.46,23.46,-59.0,75.0,1011.0,10.0,0.0,47.0,unhealthy
18.42,18.42,17835600.0,87.0,945.801,2.0,0.0,8.0,unhealthy
38.0,38.4,1.28,1.2,1.51,1.58,1.41,1.99,healthy
23.49,23.49,-52.0,70.0,1022.0,10.0,0.0,47.0,unhealthy
18.36,18.36,17835600.0,89.0,953.125,2.0,0.0,8.0,unhealthy
32.9,32.8,1.25,1.34,1.54,1.87,1.13,1.51,healthy
32.1,34.8,1.26,1.92,1.85,1.45,1.17,1.55,healthy
23.49,23.49,-58.0,79.0,1021.0,10.0,0.0,47.0,unhealthy
35.8,39.8,1.24,1.49,1.32,1.59,1.16,1.82,healthy
34.0,32.4,1.29,1.28,1.43,1.01,1.88,1.69,healthy
31.0,36.3,1.79,1.93,2.0,1.63,1.19,1.21,healthy
32.1,37.4,1.02,1.61,1.41,1.65,1.13,1.04,healthy
36.6,35.1,1.41,1.14,1.19,1.31,1.1,1.83,healthy
23.49,23.49,-58.0,79.0,1021.0,10.0,0.0,47.0,unhealthy
22.87,22.04,-50.0,87.0,1022.0,10.0,0.0,47.0,unhealthy
18.16,18.16,17835600.0,87.0,924.805,2.0,0.0,8.0,unhealthy
31.1,35.3,1.32,1.3,1.72,1.78,1.49,1.98,healthy
38.9,33.4,1.03,1.47,1.94,1.21,1.24,1.23,healthy
31.7,39.3,1.84,1.36,1.12,1.97,1.2,1.32,healthy
34.9,32.5,1.42,1.76,1.05,1.02,1.12,1.46,healthy
34.4,31.9,1.59,1.67,1.48,1.53,1.63,1.29,healthy
33.1,30.1,1.08,1.69,1.97,1.52,1.25,1.01,healthy
23.49,23.49,-46.0,79.0,1020.0,10.0,0.0,47.0,unhealthy
31.8,36.6,1.35,1.02,1.57,1.22,1.09,1.48,healthy
35.6,34.5,1.21,1.17,1.19,1.95,1.16,1.44,healthy
23.46,23.46,-60.0,82.0,1023.0,10.0,0.0,47.0,unhealthy
31.5,33.8,1.31,1.37,1.88,1.69,1.99,1.03,healthy
23.16,23.16,-58.0,81.0,1016.0,10.0,0.0,47.0,unhealthy
23.36,23.36,-61.0,81.0,1025.0,10.0,0.0,47.0,unhealthy
23.36,23.36,-49.0,70.0,1027.0,10.0,0.0,47.0,unhealthy
34.3,32.7,1.16,1.98,1.8,1.31,1.41,1.93,healthy
34.8,36.9,1.87,1.34,1.14,1.41,1.94,1.12,healthy
22.93,22.01,-42.0,83.0,1016.0,10.0,0.0,47.0,unhealthy
38.1,31.1,1.25,1.08,1.66,1.3,1.11,1.06,healthy
39.8,30.5,1.13,1.91,1.59,1.38,1.79,1.78,healthy
35.3,34.1,1.08,1.99,1.06,1.58,1.81,1.03,healthy
31.2,32.7,1.25,1.59,1.78,1.61,1.96,1.92,healthy
36.1,33.5,1.46,1.55,1.4,1.64,1.41,1.16,healthy
23.56,23.56,-58.0,70.0,1013.0,10.0,0.0,47.0,unhealthy
22.87,21.98,-34.0,89.0,1016.0,10.0,0.0,47.0,unhealthy
36.3,31.7,1.65,1.96,1.33,1.46,1.8,1.2,healthy
32.7,31.5,1.47,1.75,1.45,1.25,1.37,1.61,healthy
22.9,22.01,-52.0,87.0,1033.0,10.0,0.0,47.0,unhealthy
37.3,36.4,1.66,1.83,1.9,1.33,1.78,1.47,healthy
37.4,31.6,1.13,1.56,1.88,1.37,1.59,1.82,healthy
23.59,23.59,-42.0,80.0,1026.0,10.0,0.0,47.0,unhealthy
35.3,31.6,1.72,1.73,1.26,1.46,1.52,1.74,healthy
18.13,18.13,17835600.0,75.0,947.266,2.0,0.0,8.0,unhealthy
18.45,18.45,17835600.0,89.0,968.262,2.0,0.0,9.0,unhealthy
23.13,23.13,-38.0,90.0,1004.0,10.0,0.0,47.0,unhealthy
18.13,18.13,17835600.0,87.0,939.941,2.0,0.0,8.0,unhealthy
23.49,23.49,-46.0,82.0,1012.0,10.0,0.0,47.0,unhealthy
18.36,18.36,17835600.0,95.0,975.098,2.0,0.0,8.0,unhealthy
36.5,35.1,1.96,1.93,1.33,1.08,1.39,1.71,healthy
23.59,23.59,-53.0,86.0,1022.0,10.0,0.0,47.0,unhealthy
36.8,32.4,1.15,1.76,1.14,1.87,1.52,1.32,healthy
39.7,34.3,1.86,1.74,1.84,1.65,1.89,1.86,healthy
30.9,32.0,1.19,1.26,1.13,1.31,1.6,1.62,healthy
23.49,23.49,-50.0,81.0,1023.0,10.0,0.0,47.0,unhealthy
17.93,17.93,17835600.0,91.0,938.965,2.0,0.0,8.0,unhealthy
34.2,31.3,1.93,1.31,1.14,1.75,1.95,1.8,healthy
23.49,23.49,-46.0,82.0,1012.0,10.0,0.0,47.0,unhealthy
30.1,32.7,1.96,1.43,1.61,1.25,1.34,1.26,healthy
35.6,34.7,1.71,1.95,1.87,1.75,1.39,1.6,healthy
18.16,18.16,17835600.0,94.0,973.633,2.0,0.0,8.0,unhealthy
30.4,31.9,1.06,1.53,1.92,1.79,1.79,1.03,healthy
38.8,34.9,1.34,1.46,1.33,1.56,1.41,1.36,healthy
33.2,32.5,1.12,1.4,1.97,1.05,1.35,1.25,healthy
18.09,18.09,17835600.0,83.0,963.867,2.0,0.0,8.0,unhealthy
33.5,37.4,1.79,1.95,1.74,1.66,1.8,1.59,healthy
23.46,23.46,-49.0,81.0,1022.0,10.0,0.0,47.0,unhealthy
34.4,38.7,1.9,1.47,1.75,1.08,1.61,1.21,healthy
33.0,32.6,1.57,1.21,1.98,1.72,1.11,1.28,healthy
23.49,23.49,-45.0,80.0,1021.0,10.0,0.0,47.0,unhealthy
36.4,35.0,1.14,1.03,1.2,1.35,1.34,1.84,healthy
17.96,17.96,17835600.0,93.0,965.82,2.0,0.0,8.0,unhealthy
37.6,35.4,1.48,1.38,1.51,1.24,1.65,1.02,healthy
23.53,23.53,-43.0,92.0,1025.0,10.0,0.0,47.0,unhealthy
38.0,33.0,1.29,1.6,1.31,1.95,1.83,1.69,healthy
30.2,39.7,1.53,1.06,1.6,1.48,1.93,1.57,healthy
17.86,17.86,17835600.0,112.0,973.633,2.0,0.0,8.0,unhealthy
23.56,23.56,-54.0,82.0,1014.0,10.0,0.0,47.0,unhealthy
37.3,34.8,1.75,1.21,1.1,1.93,1.82,1.26,healthy
37.6,31.1,1.61,1.14,1.79,1.64,1.71,1.86,healthy
23.59,23.59,-50.0,84.0,1020.0,10.0,0.0,47.0,unhealthy
36.2,36.7,1.31,1.16,1.73,1.84,1.68,1.03,healthy
39.9,35.8,1.45,1.77,1.82,1.53,1.81,1.91,healthy
30.5,30.3,1.5,1.06,1.9,1.71,1.62,1.43,healthy
23.33,23.33,-51.0,85.0,1007.0,10.0,0.0,47.0,unhealthy
23.0,21.98,-41.0,77.0,1027.0,10.0,0.0,47.0,unhealthy
23.53,23.53,-54.0,78.0,1022.0,10.0,0.0,47.0,unhealthy
18.42,18.42,17835600.0,87.0,969.238,2.0,0.0,8.0,unhealthy
18.29,18.29,17835600.0,86.0,941.406,2.0,0.0,8.0,unhealthy
17.8,17.8,17835600.0,98.0,977.539,2.0,0.0,8.0,unhealthy
18.36,18.36,17835600.0,94.0,979.98,2.0,0.0,8.0,unhealthy
34.3,30.3,1.03,1.83,1.68,1.84,1.87,1.98,healthy
36.9,31.4,1.87,1.05,1.32,1.78,1.3,1.08,healthy
38.8,31.5,1.77,1.15,1.88,1.52,1.24,1.16,healthy
35.7,33.3,1.95,1.8,1.87,1.03,1.48,1.61,healthy
23.59,23.59,-50.0,76.0,1023.0,10.0,0.0,47.0,unhealthy
33.9,38.8,1.79,1.64,1.47,1.76,1.93,1.4,healthy
31.3,34.9,1.22,1.39,1.32,1.57,1.85,1.16,healthy
18.49,18.49,17835600.0,98.0,958.984,2.0,0.0,9.0,unhealthy
38.4,39.0,1.06,1.48,1.45,1.99,1.61,1.02,healthy
33.1,32.6,1.42,1.58,1.96,1.8,1.19,1.28,healthy
18.03,18.03,17835500.0,89.0,928.223,2.0,0.0,8.0,unhealthy
23.59,23.59,-42.0,80.0,1026.0,10.0,0.0,47.0,unhealthy
18.22,18.22,17835600.0,79.0,933.594,2.0,0.0,8.0,unhealthy
37.9,34.1,1.46,1.16,1.15,1.22,1.04,1.36,healthy
23.46,23.46,-59.0,75.0,1011.0,10.0,0.0,47.0,unhealthy
31.9,38.3,1.14,1.78,1.28,1.49,1.12,1.8,healthy
23.49,23.49,-57.0,69.0,1023.0,10.0,0.0,47.0,unhealthy
31.8,31.5,1.64,1.14,1.27,1.97,1.04,1.45,healthy
22.83,22.04,-52.0,89.0,1010.0,10.0,0.0,47.0,unhealthy
18.09,18.09,17835600.0,103.0,984.863,2.0,0.0,8.0,unhealthy
23.33,23.33,-45.0,78.0,1019.0,10.0,0.0,47.0,unhealthy
22.83,22.04,-48.0,75.0,1020.0,10.0,0.0,47.0,unhealthy
23.33,23.33,-47.0,72.0,1014.0,10.0,0.0,47.0,unhealthy
30.2,37.0,1.33,1.18,1.31,1.14,1.38,1.41,healthy
38.7,39.7,1.15,1.74,1.64,1.47,1.73,1.54,healthy
18.13,18.13,17835500.0,91.0,955.566,2.0,0.0,8.0,unhealthy
23.53,23.53,-54.0,78.0,1022.0,10.0,0.0,47.0,unhealthy
36.0,30.4,1.13,1.78,1.64,1.83,1.1,1.2,healthy
23.49,23.49,-50.0,93.0,1024.0,10.0,0.0,47.0,unhealthy
34.4,30.6,1.54,1.43,1.82,1.77,1.53,1.67,healthy
39.7,32.3,1.13,1.69,1.13,1.08,1.35,1.63,healthy
32.1,32.9,1.55,1.09,1.97,1.44,1.89,1.51,healthy
37.9,31.0,2.0,1.5,1.62,1.01,1.91,1.42,healthy
23.56,23.56,-50.0,73.0,1016.0,10.0,0.0,47.0,unhealthy
33.1,36.6,1.53,1.57,1.28,1.25,1.16,1.99,healthy
30.4,34.7,1.45,1.36,1.06,1.85,1.61,1.65,healthy
18.49,18.49,17835600.0,93.0,969.238,2.0,0.0,9.0,unhealthy
34.8,34.5,1.56,1.14,1.23,1.5,1.32,1.17,healthy
38.7,35.7,1.67,1.29,1.76,1.28,1.5,1.74,healthy
32.9,37.7,1.71,1.34,1.56,1.26,1.76,1.81,healthy
22.97,22.04,-64.0,87.0,1016.0,10.0,0.0,47.0,unhealthy
33.7,37.7,1.34,1.19,1.33,1.86,1.89,1.02,healthy
37.0,37.3,1.18,1.12,1.24,1.91,1.09,1.07,healthy
18.45,18.45,17835600.0,78.0,944.824,2.0,0.0,8.0,unhealthy
38.9,32.7,1.55,1.72,1.3,1.97,1.19,1.11,healthy
18.42,18.42,17835600.0,83.0,954.102,2.0,0.0,8.0,unhealthy
30.6,30.7,1.46,1.82,1.34,1.97,1.62,1.75,healthy
23.56,23.56,-50.0,76.0,1020.0,10.0,0.0,47.0,unhealthy
