temperature_one,temperature_two,vibration_x,vibration_y,vibration_z,magnetic_flux_x,magnetic_flux_y,magnetic_flux_z,health_status
18.26,18.26,36.0,-11.0,-1015.0,13.0,10.0,26.0,unhealthy
21.42,16.97,0.04,0.01,0.16,0.266,0.093,0.115,warning
22.77,18.19,0.04,0.02,0.16,0.267,0.093,0.115,warning
19.4751,19.4751,18.5547,-19.043,-1994.34,1859.25,199.05,4127.1,unhealthy
21.78,16.42,0.03,0.05,0.18,0.267,0.093,0.115,warning
949.72,949.72,0.0229492,0.0410156,-2.00707,559.95,412.95,1463.4,unhealthy
949.72,949.72,-17.5781,29.7852,-1000.49,631.05,369.9,1872.75,unhealthy
26.63,24.88,0.72,0.6,0.06,0.393,0.011,0.115,healthy
949.72,949.72,26.3672,22.9492,-1015.62,159.0,83.55,891.6,unhealthy
949.72,949.72,20.9961,32.7148,-1032.71,128.25,77.4,869.85,unhealthy
22.97,18.62,0.01,0.04,0.15,0.272,0.094,0.115,warning
22.34,18.92,0.0,0.04,0.15,0.27,0.093,0.115,warning
22.6,18.55,0.01,0.03,0.18,0.271,0.093,0.115,warning
22.64,18.59,0.01,0.01,0.16,0.27,0.093,0.115,healthy
21.22,16.25,0.02,0.06,0.17,0.267,0.093,0.115,warning
23.36,23.36,-17.0,109.0,972.0,14.0,1.0,43.0,unhealthy
22.64,18.59,0.02,0.05,0.15,0.272,0.094,0.115,healthy
22.57,18.52,0.03,0.03,0.13,0.272,0.094,0.115,healthy
949.72,949.72,59.5703,-56.6406,-2000.69,261.9,158.85,994.8,unhealthy
22.9,18.75,0.03,0.03,0.16,0.272,0.094,0.115,healthy
22.6,18.55,0.04,0.04,0.16,0.271,0.094,0.115,warning
949.72,949.72,0.0205078,0.0454102,-2.00316,558.6,412.2,1463.1,unhealthy
18.26,18.26,19.0,-13.0,-1020.0,13.0,10.0,26.0,unhealthy
22.97,18.92,0.02,0.04,0.17,0.272,0.092,0.115,healthy
22.64,18.55,0.02,0.03,0.18,0.272,0.094,0.115,healthy
21.98,16.45,0.01,0.03,0.15,0.268,0.093,0.115,warning
19.54,19.54,-21.0,-121.0,-1011.0,1.0,1.0,8.0,unhealthy
949.72,949.72,47.8516,-46.875,-1986.53,263.25,158.25,994.95,unhealthy
949.72,949.72,0.0966797,-0.0288086,-1.99193,62.85,12.6,274.2,unhealthy
949.72,949.72,27.3438,35.1562,-1005.86,126.6,77.55,870.0,unhealthy
19.8372,19.8372,-206.055,910.645,-1257.53,215.25,808.05,547.5,unhealthy
22.57,18.52,0.01,0.03,0.17,0.271,0.095,0.115,warning
18.26,18.26,34.0,-13.0,-1027.0,13.0,10.0,26.0,unhealthy
22.67,18.55,0.04,0.05,0.16,0.271,0.093,0.115,warning
22.67,18.55,0.03,0.02,0.14,0.273,0.094,0.115,warning
22.93,18.62,0.0,0.05,0.18,0.272,0.094,0.115,healthy
22.6,18.59,0.03,0.01,0.14,0.271,0.094,0.115,warning
21.75,18.16,0.02,0.06,0.15,0.267,0.095,0.115,healthy
949.72,949.72,21.9727,33.6914,-1011.23,128.25,76.2,870.9,unhealthy
20.92,15.96,0.01,0.03,0.16,0.267,0.094,0.115,warning
22.9,18.78,0.02,0.03,0.12,0.271,0.093,0.115,healthy
22.11,18.65,0.03,0.04,0.14,0.269,0.094,0.115,healthy
949.72,949.72,20.9961,10.7422,-1013.18,127.8,78.6,869.85,unhealthy
21.58,16.12,0.02,0.02,0.15,0.268,0.092,0.115,warning
22.9,18.65,0.03,0.04,0.15,0.272,0.095,0.115,healthy
23.16,19.05,0.02,0.03,0.16,0.27,0.093,0.115,healthy
22.21,18.52,0.03,0.04,0.17,0.268,0.094,0.115,healthy
949.72,949.72,0.0332031,0.0307617,-1.99877,172.35,1.2,1085.25,unhealthy
949.72,949.72,0.0366211,0.0463867,-1.97826,172.5,0.75,1084.65,unhealthy
21.52,17.4,0.03,0.01,0.14,0.267,0.094,0.115,warning
22.27,18.75,0.01,0.01,0.16,0.27,0.094,0.115,healthy
20.69,17.73,0.01,0.03,0.12,0.268,0.095,0.115,warning
949.72,949.72,0.0166016,0.0361328,-1.99584,558.15,412.2,1463.1,unhealthy
22.7,19.08,0.06,0.04,0.14,0.271,0.094,0.115,healthy
19.8,18.39,0.02,0.03,0.17,0.265,0.094,0.115,warning
22.64,18.55,0.03,0.01,0.13,0.271,0.094,0.115,healthy
949.72,949.72,0.012207,0.0336914,-1.99828,559.65,412.2,1463.4,unhealthy
19.8702,19.8702,0.299805,-0.884967,0.953125,0.009,4.686,11.3025,unhealthy
22.93,18.82,0.04,0.04,0.15,0.272,0.094,0.115,healthy
949.72,949.72,59.5703,-40.5273,-1991.9,263.25,160.65,994.65,unhealthy
21.52,16.68,0.0,0.02,0.14,0.265,0.095,0.115,warning
949.72,949.72,0.0234375,0.03125,-1.98021,172.5,2.25,1085.1,unhealthy
22.6,18.59,0.0,0.01,0.13,0.271,0.093,0.115,warning
22.77,18.59,0.01,0.01,0.17,0.272,0.094,0.115,healthy
22.6,18.59,0.01,0.02,0.13,0.272,0.095,0.115,healthy
21.52,17.4,0.01,0.03,0.14,0.266,0.094,0.115,healthy
949.72,949.72,0.0307617,0.0419922,-1.99242,560.7,410.25,1461.6,unhealthy
949.72,949.72,0.0961914,-0.0351562,-1.98168,64.95,14.7,273.3,unhealthy
22.6,18.55,0.05,0.03,0.15,0.271,0.094,0.115,warning
23.2,23.2,-14.0,116.0,972.0,15.0,1.0,43.0,unhealthy
949.72,949.72,0.0307617,0.0385742,-1.99779,173.85,2.4,1085.25,unhealthy
22.93,20.73,-4.0,112.0,969.0,13.0,1.0,43.0,unhealthy
21.62,15.99,0.01,0.04,0.18,0.266,0.094,0.115,healthy
949.72,949.72,0.00390625,0.0292969,-1.99385,525.9,329.1,1758.0,unhealthy
22.6,18.55,0.04,0.02,0.16,0.271,0.093,0.115,healthy
21.91,18.69,0.01,0.05,0.17,0.268,0.095,0.115,warning
22.6,18.52,0.01,0.03,0.16,0.272,0.093,0.115,healthy
22.64,18.59,0.04,0.03,0.14,0.272,0.094,0.115,healthy
21.55,18.69,0.01,0.02,0.13,0.266,0.093,0.115,healthy
23.0,18.92,0.02,0.05,0.16,0.272,0.093,0.115,healthy
949.72,949.72,58.5938,-32.2266,-1989.95,264.0,160.95,993.9,unhealthy
949.72,949.72,0.0986328,-0.0366211,-1.99291,64.5,14.4,273.3,unhealthy
949.72,949.72,0.0864258,-0.034668,-1.99779,65.85,13.35,274.5,unhealthy
22.54,18.98,0.02,0.02,0.13,0.27,0.093,0.115,healthy
22.64,18.92,0.02,0.02,0.13,0.27,0.093,0.115,healthy
22.93,18.62,0.0,0.03,0.11,0.272,0.094,0.115,healthy
22.47,18.95,0.01,0.01,0.15,0.271,0.095,0.115,warning
22.8,17.99,0.03,0.02,0.12,0.231,0.093,0.115,warning
22.6,18.55,0.03,0.05,0.13,0.271,0.093,0.115,warning
22.87,18.78,0.04,0.02,0.13,0.273,0.093,0.115,warning
949.72,949.72,27.832,35.1562,-1021.0,160.5,83.85,891.6,unhealthy
22.41,18.75,0.02,0.04,0.14,0.268,0.093,0.115,healthy
949.72,949.72,0.0170898,0.0429688,-1.97582,558.75,412.8,1461.75,unhealthy
22.6,18.59,0.05,0.02,0.14,0.272,0.094,0.115,warning
949.72,949.72,0.0214844,0.0473633,-1.98363,587.85,457.2,1677.0,unhealthy
22.74,18.59,0.03,0.01,0.13,0.272,0.094,0.115,healthy
949.72,949.72,0.104004,-0.0571289,-1.98265,66.45,13.95,273.0,unhealthy
21.62,15.99,0.02,0.04,0.15,0.266,0.093,0.115,warning
949.72,949.72,55.1758,-37.5977,-2000.2,261.75,157.95,992.7,unhealthy
23.39,19.11,0.02,0.03,0.19,0.27,0.093,0.115,warning
22.6,18.55,0.03,0.05,0.12,0.272,0.093,0.115,warning
22.93,19.01,0.03,0.05,0.17,0.272,0.093,0.115,warning
22.6,18.55,0.01,0.02,0.19,0.271,0.092,0.115,warning
22.64,18.55,0.0,0.01,0.13,0.27,0.094,0.115,healthy
22.87,18.69,0.03,0.05,0.17,0.272,0.092,0.115,warning
949.72,949.72,1.46484,24.9023,-1021.0,587.1,344.55,1794.75,unhealthy
22.54,18.52,0.03,0.03,0.12,0.271,0.094,0.115,warning
22.64,18.55,0.02,0.07,0.16,0.271,0.095,0.115,healthy
22.6,18.52,0.05,0.05,0.16,0.273,0.094,0.115,healthy
949.72,949.72,-8.30078,36.6211,-992.188,631.05,369.9,1872.15,unhealthy
949.72,949.72,0.0166016,0.0493164,-2.00316,561.0,410.85,1468.65,unhealthy
22.83,19.05,0.03,0.03,0.13,0.272,0.093,0.115,warning
22.67,18.55,0.0,0.03,0.14,0.272,0.094,0.115,warning
22.93,19.01,0.03,0.09,0.17,0.272,0.093,0.115,warning
22.97,18.82,0.03,0.04,0.12,0.273,0.093,0.115,healthy
21.71,16.22,0.01,0.02,0.17,0.266,0.094,0.115,healthy
22.64,18.55,0.01,0.01,0.15,0.27,0.094,0.115,warning
22.64,18.92,0.04,0.06,0.14,0.27,0.094,0.115,healthy
22.93,18.88,0.02,0.05,0.14,0.273,0.093,0.115,healthy
949.72,949.72,31.25,56.6406,-1009.77,165.45,68.4,888.9,unhealthy
22.64,18.55,0.03,0.04,0.12,0.272,0.094,0.115,healthy
19.4423,19.4423,-7.32422,-19.5312,-2014.85,1865.4,195.0,4121.1,unhealthy
22.27,18.69,0.01,0.05,0.18,0.269,0.094,0.115,healthy
949.72,949.72,66.8945,-60.0586,-1994.83,264.15,158.55,993.75,unhealthy
22.83,19.01,0.02,0.03,0.15,0.272,0.093,0.115,healthy
22.87,19.01,0.02,0.02,0.13,0.273,0.093,0.115,warning
949.72,949.72,45.4102,-162.598,-1987.02,447.45,175.05,1666.05,unhealthy
22.41,18.78,0.01,0.04,0.19,0.268,0.093,0.115,warning
23.36,19.15,0.0,0.05,0.16,0.27,0.094,0.115,healthy
949.72,949.72,0.0830078,-0.0380859,-1.99681,61.8,13.8,274.95,unhealthy
22.54,18.55,0.03,0.02,0.14,0.271,0.095,0.115,healthy
22.24,18.85,0.01,0.01,0.18,0.27,0.094,0.115,healthy
21.25,18.29,0.01,0.05,0.19,0.27,0.093,0.115,warning
22.34,18.95,0.01,0.07,0.17,0.271,0.093,0.115,healthy
949.72,949.72,0.00976562,0.0292969,-1.99633,584.7,456.15,1677.9,unhealthy
20.76,17.86,0.01,0.03,0.17,0.268,0.093,0.115,healthy
19.61,19.61,0.09,-0.97,1.0,1.28,4.16,12.89,unhealthy
22.57,18.55,0.02,0.06,0.18,0.271,0.093,0.115,warning
22.6,18.59,0.05,0.06,0.17,0.272,0.094,0.115,warning
22.01,18.69,0.04,0.05,0.15,0.267,0.093,0.115,warning
21.71,18.03,0.02,0.03,0.15,0.267,0.094,0.115,healthy
21.65,18.52,0.01,0.04,0.16,0.27,0.094,0.115,warning
949.72,949.72,0.0317383,0.0400391,-2.00316,493.95,340.8,1330.2,unhealthy
949.72,949.72,0.0195312,0.0380859,-1.99535,586.65,454.05,1677.45,unhealthy
22.93,18.92,0.03,0.01,0.14,0.272,0.094,0.115,warning
22.87,17.24,0.01,0.04,0.15,0.269,0.094,0.115,healthy
21.71,17.9,0.03,0.06,0.17,0.266,0.093,0.115,healthy
22.93,18.95,0.01,0.02,0.15,0.272,0.094,0.115,healthy
22.64,18.88,0.02,0.05,0.16,0.27,0.095,0.115,healthy
22.64,18.55,0.01,0.02,0.18,0.271,0.093,0.115,warning
949.72,949.72,0.107422,-0.0454102,-1.99291,66.15,14.1,271.95,unhealthy
22.14,18.75,0.03,0.01,0.13,0.267,0.095,0.115,healthy
22.47,18.92,0.01,0.02,0.14,0.271,0.094,0.115,healthy
22.21,18.75,0.03,0.02,0.12,0.27,0.093,0.115,warning
949.72,949.72,61.5234,-47.8516,-1999.22,264.75,157.95,995.25,unhealthy
21.19,18.26,0.05,0.07,0.14,0.269,0.093,0.115,warning
949.72,949.72,0.0766602,-0.0473633,-1.99486,64.5,15.15,273.0,unhealthy
949.72,949.72,0.0952148,-0.0405273,-1.98265,62.7,12.0,274.05,unhealthy
22.8,18.95,0.03,0.06,0.17,0.269,0.093,0.115,warning
22.64,18.55,0.04,0.04,0.17,0.271,0.093,0.115,warning
22.64,18.52,0.02,0.05,0.16,0.27,0.094,0.115,warning
949.72,949.72,47.3633,-41.0156,-1983.11,243.6,214.05,930.0,unhealthy
22.6,18.55,0.04,0.04,0.14,0.272,0.094,0.115,warning
21.75,16.05,0.02,0.03,0.15,0.266,0.094,0.115,healthy
22.64,18.55,0.05,0.04,0.11,0.271,0.095,0.115,healthy
949.72,949.72,0.0219727,0.0629883,-1.99242,494.55,339.9,1331.85,unhealthy
21.55,16.09,0.0,0.04,0.21,0.266,0.093,0.115,warning
22.6,18.59,0.04,0.05,0.13,0.271,0.095,0.115,warning
20.89,18.45,0.04,0.05,0.13,0.265,0.094,0.115,healthy
22.64,18.55,0.04,0.05,0.15,0.271,0.094,0.115,healthy
19.7055,19.7055,114.258,-19.043,-1987.02,201.15,329.1,926.1,unhealthy
22.83,18.69,0.01,0.04,0.16,0.273,0.094,0.115,warning
22.64,18.55,0.03,0.02,0.13,0.271,0.094,0.115,warning
949.72,949.72,0.00927734,0.0302734,-1.98607,584.85,454.5,1679.55,unhealthy
949.72,949.72,0.012207,0.0419922,-1.9973,557.1,411.0,1463.7,unhealthy
949.72,949.72,0.0913086,-0.0517578,-1.98363,65.85,14.85,274.5,unhealthy
20.03,21.45,0.04,0.63,0.95,0.215,0.27,4.238,unhealthy
19.8702,19.8702,-153.809,918.945,-1247.27,166.8,787.65,447.0,unhealthy
22.87,19.01,0.02,0.03,0.13,0.272,0.093,0.115,healthy
22.24,18.75,0.02,0.05,0.17,0.268,0.095,0.115,healthy
22.6,18.59,0.0,0.03,0.17,0.273,0.093,0.115,healthy
22.83,19.05,0.02,0.02,0.15,0.272,0.092,0.115,healthy
21.35,16.25,0.0,0.03,0.14,0.267,0.093,0.115,healthy
17.4,17.9,0.03,0.04,0.1,0.268,0.094,0.115,healthy
21.58,17.63,0.01,0.02,0.15,0.266,0.093,0.115,healthy
22.41,18.82,0.0,0.01,0.17,0.268,0.094,0.115,healthy
22.64,18.55,0.01,0.03,0.2,0.271,0.095,0.115,warning
22.6,18.55,0.05,0.02,0.11,0.272,0.094,0.115,healthy
949.72,949.72,27.832,26.8555,-1015.62,160.5,83.1,891.3,unhealthy
949.72,949.72,49.8047,-53.2227,-2001.18,262.65,159.6,994.35,unhealthy
22.57,18.59,0.02,0.01,0.15,0.273,0.093,0.115,healthy
22.6,18.55,0.04,0.01,0.13,0.272,0.094,0.115,warning
949.72,949.72,30.7617,35.1562,-1012.21,126.75,78.15,870.15,unhealthy
19.21,19.21,5.0,-180.0,-1005.0,6.0,4.0,45.0,unhealthy
21.12,16.05,0.0,0.06,0.16,0.266,0.095,0.115,healthy
22.64,18.52,0.0,0.01,0.15,0.273,0.094,0.115,warning
949.72,949.72,0.0341797,0.0375977,-1.99095,171.45,0.75,1085.7,unhealthy
949.72,949.72,32.7148,40.5273,-1021.97,127.8,76.95,869.1,unhealthy
19.11,19.11,-1.0,-263.0,-1003.0,2.0,6.0,13.0,unhealthy
18.26,18.26,20.0,-20.0,-1022.0,13.0,10.0,26.0,unhealthy
949.72,949.72,-5.85938,14.6484,-1017.58,586.65,345.6,1794.0,unhealthy
22.93,18.65,0.03,0.06,0.16,0.272,0.094,0.115,warning
23.06,19.08,0.03,0.07,0.19,0.27,0.092,0.115,warning
22.57,18.85,0.01,0.04,0.15,0.27,0.095,0.115,warning
20.59,18.45,0.0,0.03,0.14,0.265,0.095,0.115,healthy
18.22,18.22,34.0,-13.0,-1027.0,13.0,10.0,26.0,unhealthy
949.72,949.72,0.0332031,0.0424805,-2.00804,174.0,1.05,1085.4,unhealthy
949.72,949.72,52.2461,-31.25,-1982.62,263.25,159.45,995.7,unhealthy
20.66,17.7,0.0,0.04,0.2,0.267,0.093,0.115,warning
22.6,18.59,0.05,0.06,0.17,0.271,0.093,0.115,warning
20.5,18.42,0.02,0.03,0.19,0.266,0.095,0.115,healthy
22.93,17.34,0.01,0.05,0.16,0.27,0.093,0.115,warning
949.72,949.72,0.00537109,0.0517578,-1.98802,583.95,455.1,1678.65,unhealthy
949.72,949.72,0.0078125,0.0292969,-1.98705,560.4,409.8,1463.7,unhealthy
949.72,949.72,0.0405273,0.0273438,-1.99291,171.15,0.45,1085.25,unhealthy
22.34,18.82,0.03,0.02,0.13,0.271,0.094,0.115,healthy
22.57,18.55,0.05,0.03,0.13,0.272,0.093,0.115,healthy
22.6,19.05,0.03,0.06,0.13,0.271,0.093,0.115,warning
22.6,18.55,0.04,0.05,0.14,0.271,0.094,0.115,healthy
22.41,16.71,0.01,0.04,0.14,0.267,0.093,0.115,warning
22.67,18.59,0.03,0.03,0.16,0.272,0.094,0.115,healthy
949.72,949.72,0.0336914,0.0473633,-1.99242,171.45,1.5,1085.4,unhealthy
949.72,949.72,0.0268555,0.0380859,-1.99193,560.25,411.15,1462.2,unhealthy
23.26,23.26,-11.0,104.0,964.0,14.0,1.0,43.0,unhealthy
22.57,18.55,0.04,0.05,0.17,0.272,0.094,0.115,warning
949.72,949.72,0.0078125,0.0375977,-1.98216,586.2,455.1,1679.4,unhealthy
22.97,19.05,0.02,0.06,0.14,0.272,0.092,0.115,warning
18.22,18.22,38.0,-8.0,-997.0,13.0,10.0,26.0,unhealthy
22.67,18.55,0.05,0.06,0.16,0.273,0.094,0.115,warning
22.74,18.32,0.02,0.06,0.16,0.268,0.095,0.115,warning
949.72,949.72,27.3438,38.5742,-1024.41,126.9,77.55,869.55,unhealthy
949.72,949.72,0.0996094,-0.0400391,-1.99779,66.0,15.9,271.5,unhealthy
21.94,18.32,0.03,0.01,0.15,0.267,0.094,0.115,healthy
949.72,949.72,21.4844,33.2031,-1022.46,127.5,78.15,869.4,unhealthy
21.62,18.69,0.01,0.04,0.14,0.267,0.094,0.115,warning
949.72,949.72,0.0161133,0.0400391,-2.00658,588.0,454.2,1676.1,unhealthy
949.72,949.72,0.0966797,-0.0488281,-1.99633,64.35,14.1,273.9,unhealthy
23.3,19.15,0.02,0.05,0.17,0.271,0.094,0.115,healthy
22.64,18.55,0.0,0.03,0.14,0.271,0.095,0.115,healthy
22.64,18.55,0.02,0.06,0.15,0.272,0.093,0.115,healthy
22.87,19.05,0.02,0.04,0.17,0.272,0.092,0.115,healthy
22.93,18.85,0.02,0.03,0.16,0.272,0.094,0.115,healthy
949.72,949.72,66.4062,-50.293,-2000.69,262.5,158.7,995.25,unhealthy
949.72,949.72,32.2266,28.8086,-1030.76,127.8,78.6,870.15,unhealthy
22.08,16.58,0.0,0.03,0.17,0.268,0.093,0.115,healthy
22.64,18.52,0.03,0.05,0.13,0.271,0.093,0.115,healthy
949.72,949.72,0.00585938,0.0332031,-2.00853,586.35,453.75,1679.85,unhealthy
22.97,18.98,0.03,0.06,0.15,0.272,0.093,0.115,healthy
22.64,18.55,0.02,0.02,0.18,0.272,0.094,0.115,warning
949.72,949.72,30.2734,11.2305,-998.535,124.95,78.15,871.95,unhealthy
22.77,19.08,0.0,0.0,0.13,0.272,0.093,0.115,warning
22.74,18.62,0.02,0.01,0.13,0.272,0.094,0.115,warning
22.57,19.05,0.04,0.02,0.11,0.272,0.093,0.115,healthy
949.72,949.72,0.0107422,0.0258789,-2.00853,586.5,454.65,1680.9,unhealthy
22.83,18.69,0.05,0.04,0.15,0.272,0.094,0.115,warning
22.6,18.55,0.03,0.01,0.12,0.272,0.094,0.115,healthy
23.0,18.62,0.04,0.03,0.13,0.271,0.093,0.115,healthy
19.67,19.67,0.09,-0.98,1.01,1.51,4.0,12.54,unhealthy
23.1,17.63,0.01,0.01,0.15,0.27,0.093,0.115,warning
22.57,18.59,0.01,0.07,0.17,0.271,0.093,0.115,healthy
949.72,949.72,55.6641,-53.7109,-1985.06,263.25,157.95,994.95,unhealthy
27.35,24.94,2.0,0.67,0.78,0.392,0.039,0.115,healthy
23.23,19.08,0.0,0.04,0.14,0.269,0.095,0.115,warning
22.04,16.35,0.03,0.01,0.15,0.267,0.094,0.115,healthy
19.74,19.74,0.12,-0.98,1.01,1.76,2.85,10.4,unhealthy
949.72,949.72,28.8086,37.5977,-1025.39,129.3,78.6,871.65,unhealthy
22.6,18.55,0.03,0.01,0.14,0.272,0.094,0.115,warning
21.02,18.13,0.01,0.03,0.16,0.267,0.093,0.115,healthy
22.27,18.72,0.01,0.02,0.12,0.27,0.095,0.115,warning
949.72,949.72,18.0664,24.4141,-1011.72,629.7,370.2,1873.5,unhealthy
22.6,18.88,0.02,0.03,0.18,0.271,0.094,0.115,healthy
949.72,949.72,24.9023,28.3203,-1003.42,126.45,77.7,869.85,unhealthy
19.3763,19.3763,13.6719,58.5938,-1992.39,1751.55,438.45,3838.35,unhealthy
22.8,18.95,0.02,0.01,0.13,0.269,0.095,0.115,healthy
22.93,18.88,0.04,0.03,0.15,0.272,0.093,0.115,healthy
949.72,949.72,8.30078,26.3672,-1016.6,587.4,345.6,1794.3,unhealthy
22.64,18.55,0.03,0.02,0.14,0.272,0.095,0.115,healthy
18.16,18.16,17.0,-27.0,-1012.0,15.0,9.0,0.0,unhealthy
949.72,949.72,0.0175781,0.0351562,-1.99828,585.9,455.25,1680.3,unhealthy
21.81,16.35,0.02,0.04,0.15,0.267,0.092,0.115,healthy
22.8,18.69,0.0,0.02,0.18,0.272,0.094,0.115,healthy
21.22,18.52,0.01,0.05,0.17,0.266,0.094,0.115,healthy
22.74,18.59,0.02,0.05,0.16,0.272,0.093,0.115,warning
21.98,16.45,0.0,0.03,0.15,0.269,0.093,0.115,healthy
949.72,949.72,0.0195312,0.0332031,-1.9934,559.35,412.2,1463.7,unhealthy
949.72,949.72,65.4297,-59.082,-1994.83,163.05,206.55,777.6,unhealthy
21.62,16.19,0.02,0.04,0.19,0.268,0.094,0.115,warning
949.72,949.72,0.0825195,-0.0336914,-2.00414,62.85,13.8,274.2,unhealthy
22.83,18.62,0.0,0.04,0.14,0.27,0.093,0.115,healthy
22.01,18.62,0.01,0.03,0.15,0.27,0.093,0.115,warning
22.08,18.32,0.01,0.08,0.13,0.267,0.094,0.115,healthy
22.97,18.65,0.02,0.01,0.18,0.273,0.095,0.115,warning
949.72,949.72,25.8789,40.5273,-1003.91,127.2,78.15,869.85,unhealthy
22.83,19.05,0.04,0.06,0.12,0.271,0.093,0.115,healthy
949.72,949.72,0.0405273,0.0273438,-1.99291,171.15,0.45,1085.25,unhealthy
22.9,18.75,0.04,0.06,0.16,0.272,0.093,0.115,warning
18.32,18.32,28.0,-14.0,-1019.0,13.0,10.0,26.0,unhealthy
17.83,17.83,25.0,-8.0,-1012.0,0.0,0.0,0.0,unhealthy
22.37,18.82,0.02,0.03,0.16,0.272,0.094,0.115,healthy
22.64,18.59,0.03,0.01,0.18,0.272,0.093,0.115,healthy
22.44,18.42,0.03,0.01,0.14,0.272,0.093,0.115,warning
22.67,18.52,0.03,0.03,0.15,0.273,0.095,0.115,healthy
949.72,949.72,0.0268555,0.0297852,-1.99828,174.15,1.65,1085.25,unhealthy
21.38,18.62,0.01,0.04,0.13,0.266,0.095,0.115,warning
22.6,18.55,0.02,0.03,0.13,0.273,0.094,0.115,warning
22.8,18.69,0.03,0.04,0.12,0.273,0.095,0.115,healthy
949.72,949.72,0.103027,-0.0356445,-1.99486,66.45,13.5,273.6,unhealthy
22.97,18.98,0.02,0.05,0.17,0.273,0.093,0.115,warning
20.86,16.02,0.02,0.05,0.15,0.267,0.093,0.115,healthy
22.8,18.65,0.01,0.02,0.15,0.272,0.093,0.115,healthy
949.72,949.72,-0.00878906,0.0405273,-1.99095,585.15,454.5,1679.25,unhealthy
949.72,949.72,0.0942383,-0.0244141,-1.98802,61.95,12.0,273.3,unhealthy
21.62,17.67,0.0,0.03,0.15,0.266,0.094,0.115,warning
22.87,18.72,0.02,0.02,0.16,0.272,0.095,0.115,warning
949.72,949.72,0.00732422,0.0424805,-2.01341,586.65,456.0,1677.45,unhealthy
949.72,949.72,-5.85938,22.4609,-1024.41,586.35,346.05,1793.7,unhealthy
22.74,18.59,0.01,0.01,0.15,0.272,0.093,0.115,warning
19.4094,19.4094,-20.0195,-20.0195,-2003.62,1861.35,197.25,4125.15,unhealthy
22.64,18.55,0.04,0.03,0.15,0.272,0.093,0.115,healthy
